TargetInterval(s),Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput (tps),Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
60,1,1,1,5TPS60sec,4020,0,5.1,0.04,0.01,0.02,5.1,0.0,16,4032,825.0,4.9,50.6,3.0,135.0,0.04
20,1,0,1,5TPS20sec,4020,0,5.1,0.05,0.01,0.02,5.1,0.0,45,4032,825.0,4.9,19.0,3.0,48.0,0.04
20,1,1,1,5TPS20sec,4020,0,5.1,0.05,0.01,0.02,5.1,0.0,47,4032,825.0,4.9,18.1,3.0,48.0,0.04
3,1,0,1,5TPS3sec,4020,0,5.1,0.04,0.01,0.02,5.1,0.0,158,4032,828.0,4.9,5.4,3.0,12.0,0.04
3,1,1,1,5TPS3sec,4020,0,5.1,0.04,0.01,0.01,5.1,0.0,168,4032,825.0,4.9,5.0,3.0,12.0,0.04
50,1,0,1,5TPS50sec,4020,0,5.1,0.45,0.01,0.05,5.1,0.0,25,4032,825.0,4.9,34.4,3.0,111.0,0.04
50,1,1,1,5TPS50sec,4020,0,5.1,0.32,0.01,0.06,5.1,0.0,16,4032,825.0,4.9,54.6,3.0,114.0,0.04
5,1,0,1,5TPS5sec,4020,0,5.1,0.04,0.01,0.01,5.1,0.0,119,4032,825.0,4.9,6.9,3.0,21.0,0.04
5,1,1,1,5TPS5sec,4020,0,5.1,0.04,0.01,0.01,5.1,0.0,121,4032,825.0,4.9,6.8,3.0,18.0,0.04
10,1,0,1,10TPS10sec,8020,0,10.1,0.04,0.01,0.02,10.1,0.0,80,7932,810.0,9.8,10.9,3.0,36.0,0.03
10,1,1,1,10TPS10sec,8020,0,10.1,0.99,0.01,0.14,10.0,0.0,75,8032,810.0,9.9,11.8,3.0,33.0,0.01
30,1,0,1,10TPS30sec,8020,0,10.1,0.91,0.01,0.11,10.0,0.0,27,7932,810.0,9.8,30.7,3.0,75.0,0.02
30,1,1,1,10TPS30sec,8020,0,10.1,0.08,0.01,0.02,10.1,0.0,31,7472,813.0,9.2,28.3,3.0,78.0,0.1
40,1,0,1,10TPS40sec,8020,0,10.1,0.07,0.01,0.02,10.1,0.0,27,8032,810.0,9.9,32.8,3.0,108.0,0.02
40,1,1,1,10TPS40sec,8020,0,10.1,0.08,0.01,0.02,10.1,0.0,26,7852,810.0,9.7,29.0,3.0,96.0,0.04
80,1,0,1,10TPS80sec,7600,420,10.1,0.08,0.01,0.02,9.5,0.0,10,6152,813.0,7.6,71.6,3.0,198.0,0.25
80,1,1,1,10TPS80sec,8020,0,10.1,0.11,0.01,0.02,10.1,0.0,15,7612,810.0,9.4,48.9,3.0,150.0,0.07
100,1,0,1,10TPS100sec,7240,780,10.1,0.53,0.01,0.04,9.1,0.0,11,7172,810.0,8.9,78.0,3.0,270.0,0.02
100,1,1,1,10TPS100sec,6760,1260,10.1,0.20,0.01,0.03,8.5,0.0,6,6192,813.0,7.6,157.8,3.0,279.0,0.12
60,1,0,1,10TPS60sec,8020,0,10.1,0.63,0.01,0.08,10.1,0.0,13,7432,813.0,9.1,58.2,3.0,153.0,0.11
60,1,1,1,10TPS60sec,7840,180,10.1,0.10,0.01,0.02,9.8,0.0,13,7572,810.0,9.3,61.0,3.0,165.0,0.05
20,1,0,1,10TPS20sec,8020,0,10.1,0.06,0.01,0.02,10.1,0.0,49,8032,813.0,9.9,17.7,3.0,51.0,0.02
20,1,1,1,10TPS20sec,8020,0,10.1,0.05,0.01,0.02,10.1,0.0,48,7932,810.0,9.8,20.4,3.0,51.0,0.03
3,1,0,1,10TPS3sec,8020,0,10.1,0.53,0.01,0.04,10.1,0.0,178,8032,813.0,9.9,5.6,3.0,15.0,0.02
3,1,1,1,10TPS3sec,8020,0,10.1,0.05,0.01,0.02,10.1,0.0,180,8032,810.0,9.9,5.5,3.0,18.0,0.02
50,1,0,1,10TPS50sec,8020,0,10.1,0.56,0.01,0.04,10.1,0.0,26,7932,810.0,9.8,30.0,3.0,93.0,0.03
50,1,1,1,10TPS50sec,8020,0,10.1,0.87,0.01,0.02,10.1,0.0,17,7852,810.0,9.7,47.6,3.0,129.0,0.04
5,1,0,1,10TPS5sec,8020,0,10.1,0.05,0.01,0.02,10.1,0.0,129,8032,810.0,9.9,7.4,3.0,24.0,0.02
5,1,1,1,10TPS5sec,8020,0,10.1,0.06,0.01,0.02,10.1,0.0,131,8032,813.0,9.9,7.6,3.0,18.0,0.02
10,1,0,1,15TPS10sec,12020,0,15.1,0.94,0.01,0.06,15.1,0.0,73,11772,801.0,14.7,12.9,3.0,36.0,0.03
10,1,1,1,15TPS10sec,12020,0,15.1,1.26,0.01,0.08,15.1,0.0,69,12032,804.0,15.0,13.8,3.0,42.0,0.01
30,1,0,1,15TPS30sec,12020,0,15.1,1.21,0.01,0.06,15.1,0.0,23,11572,804.0,14.4,35.7,3.0,84.0,0.05
30,1,1,1,15TPS30sec,12020,0,15.1,0.97,0.01,0.07,15.0,0.0,25,11152,798.0,14.0,33.4,3.0,96.0,0.07
40,1,0,1,15TPS40sec,12020,0,15.1,1.21,0.01,0.06,15.0,0.0,23,11432,798.0,14.3,34.6,3.0,114.0,0.05
40,1,1,1,15TPS40sec,12020,0,15.1,1.29,0.01,0.07,15.1,0.0,19,10472,807.0,13.0,40.5,3.0,129.0,0.16
80,1,0,1,15TPS80sec,11580,440,15.1,1.09,0.01,0.07,14.5,0.0,12,10372,804.0,12.9,71.5,3.0,186.0,0.12
80,1,1,1,15TPS80sec,11780,240,15.1,0.96,0.01,0.05,14.7,0.0,9,8292,804.0,10.3,69.0,3.0,168.0,0.43
100,1,0,1,15TPS100sec,8600,3420,15.1,0.59,0.01,0.05,10.8,0.0,6,6012,813.0,7.4,105.6,3.0,240.0,0.46
100,1,1,1,15TPS100sec,11900,120,15.1,0.89,0.01,0.05,14.9,0.0,10,9172,801.0,11.5,65.3,3.0,156.0,0.3
60,1,0,1,15TPS60sec,11840,180,15.1,0.99,0.01,0.05,14.8,0.0,17,11452,798.0,14.4,53.1,3.0,126.0,0.03
60,1,1,1,15TPS60sec,11860,160,15.1,1.04,0.01,0.10,14.8,0.0,8,9192,810.0,11.3,78.4,3.0,162.0,0.31
20,1,0,1,15TPS20sec,12020,0,15.1,1.14,0.01,0.06,15.1,0.0,42,11832,804.0,14.7,21.4,3.0,57.0,0.03
20,1,1,1,15TPS20sec,12020,0,15.1,1.30,0.01,0.07,15.1,0.0,37,11812,801.0,14.7,23.0,3.0,63.0,0.03
3,1,0,1,15TPS3sec,12020,0,15.1,0.86,0.01,0.05,15.1,0.0,174,12032,801.0,15.0,6.2,3.0,18.0,0.01
3,1,1,1,15TPS3sec,12020,0,15.1,0.73,0.01,0.05,15.0,0.0,176,11992,798.0,15.0,6.4,3.0,12.0,0.0
50,1,0,1,15TPS50sec,11820,200,15.1,0.93,0.01,0.06,14.8,0.0,12,9572,798.0,12.0,58.9,3.0,183.0,0.23
50,1,1,1,15TPS50sec,11980,40,15.1,1.08,0.01,0.08,15.0,0.0,14,9392,798.0,11.8,46.4,3.0,156.0,0.27
5,1,0,1,15TPS5sec,12020,0,15.1,1.15,0.01,0.07,15.0,0.0,124,11932,798.0,15.0,8.4,3.0,21.0,0.0
5,1,1,1,15TPS5sec,12020,0,15.1,0.90,0.01,0.04,15.1,0.0,123,11952,804.0,14.9,8.0,3.0,18.0,0.01
10,1,0,1,20TPS10sec,16020,0,20.1,0.90,0.01,0.04,20.1,0.0,74,15172,789.0,19.2,12.3,3.0,30.0,0.05
10,1,1,1,20TPS10sec,16020,0,20.1,1.81,0.01,0.12,20.1,0.0,71,15852,792.0,20.0,13.2,3.0,36.0,0.01
30,1,0,1,20TPS30sec,16020,0,20.1,0.95,0.01,0.05,20.0,0.0,35,14892,789.0,18.9,23.3,3.0,102.0,0.06
30,1,1,1,20TPS30sec,16020,0,20.1,1.68,0.01,0.07,20.0,0.0,19,14612,786.0,18.6,42.0,3.0,108.0,0.08
40,1,0,1,20TPS40sec,15900,120,20.1,1.85,0.01,0.13,19.9,0.0,18,14012,789.0,17.8,45.6,3.0,96.0,0.12
40,1,1,1,20TPS40sec,15680,340,20.1,0.93,0.01,0.06,19.6,0.0,22,13612,786.0,17.3,36.9,3.0,153.0,0.13
