Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
4,10,1,sawtooth-settings-tp-3,20.8,20.8,0.00,0.00,10.5,0,0,0
4,10,1,sawtooth-poet-validator-r...-tp-3,47.1,47.1,0.00,0.00,10.7,0,0,0
4,10,1,sawtooth-rest-api-3,28.3,27.8,0.88,0.24,5.6,5.7,0,0
4,10,1,sawtooth-intkey-tp-python...ult-3,26.5,23.8,54.31,30.65,44.9,22.8,0,0
4,10,1,sawtooth-settings-tp-1,20.6,20.6,0.00,0.00,10.8,0,0,0
4,10,1,sawtooth-intkey-tp-python...ult-1,26.7,23.8,54.41,30.93,45.8,23.4,0,0
4,10,1,sawtooth-poet-validator-r...-tp-1,46.8,46.8,0.00,0.00,10.7,0,0,0
4,10,1,sawtooth-rest-api-1,27.7,27.4,0.90,0.23,5.6,5.7,0,0
4,10,1,sawtooth-validator-2,426.5,269.9,109.22,82.71,48.2,52.1,0,0
4,10,1,sawtooth-validator-0,487.1,300.8,116.78,87.71,50.4,508.8,0,0
4,10,1,sawtooth-validator-3,438.8,272.0,108.29,83.07,49.2,51.0,0,0
4,10,1,sawtooth-validator-1,444.4,277.8,112.47,83.25,47.4,54.4,0,0
4,10,2,sawtooth-shell-default,32.8,13.7,92.62,29.74,554.5,4.1,0,0
4,10,2,sawtooth-settings-tp-1,20.4,20.4,0.00,0.00,10.4,0,0,0
4,10,2,sawtooth-rest-api-1,27.6,27.2,2.30,0.24,5.6,5.7,0,0
4,10,2,sawtooth-poet-validator-r...-tp-1,46.7,46.7,0.00,0.00,10.3,0,0,0
4,10,2,sawtooth-intkey-tp-python...ult-1,27.0,23.8,55.02,32.09,47.7,24.3,0,0
4,10,2,sawtooth-rest-api-0,54.1,38.3,88.07,19.12,338.0,561.7,0,0
4,10,2,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,10.4,0,0,0
4,10,2,sawtooth-intkey-tp-python...ult-0,26.8,23.7,54.72,31.53,46.2,23.6,0,0
4,10,2,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,10.5,0,0,0
4,10,2,sawtooth-settings-tp-3,20.8,20.8,0.00,0.00,10.6,0,0,0
4,10,2,sawtooth-poet-validator-r...-tp-3,47.0,47.0,0.00,0.00,10.5,0,0,0
4,10,2,sawtooth-intkey-tp-python...ult-3,27.1,23.8,54.86,32.03,47.6,24.2,0,0
4,10,2,sawtooth-rest-api-3,28.0,27.6,2.42,0.24,5.5,5.7,0,0
4,10,2,sawtooth-settings-tp-2,20.8,20.8,0.00,0.00,10.3,0,0,0
4,10,2,sawtooth-intkey-tp-python...ult-2,27.0,23.8,53.87,32.05,47.3,24.1,0,0
4,10,2,sawtooth-rest-api-2,28.2,27.7,2.65,0.24,5.6,5.7,0,0
4,10,2,sawtooth-poet-validator-r...-tp-2,46.7,46.7,0.00,0.00,10.5,0,0,0
4,10,2,sawtooth-validator-0,390.4,283.3,119.64,85.84,51.3,438.3,0,0
4,10,2,sawtooth-validator-3,388.7,252.6,115.79,82.67,51.1,54.2,0,0
4,10,2,sawtooth-validator-1,375.9,255.3,119.13,83.11,50.4,55.2,0,0
4,10,2,sawtooth-validator-2,390.8,255.0,109.92,82.70,50.8,54.2,0,0
4,13,0,sawtooth-intkey-tp-python...ult-1,26.5,23.6,53.80,30.15,44.6,22.8,0,0
4,13,0,sawtooth-poet-validator-r...-tp-1,46.6,46.6,0.00,0.00,10.4,0,0,0
4,13,0,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,10.4,0,0,0
4,13,0,sawtooth-rest-api-1,28.2,27.5,1.00,0.23,5.6,5.7,0,0
4,13,0,sawtooth-shell-default,36.1,14.7,94.08,29.81,615.1,4.5,0,0
4,13,0,sawtooth-rest-api-0,63.9,40.4,96.61,19.48,376.7,622.5,0,0
4,13,0,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,10.5,0,0,0
4,13,0,sawtooth-poet-validator-r...-tp-0,47.0,47.0,0.00,0.00,10.6,0,0,0
4,13,0,sawtooth-intkey-tp-python...ult-0,26.4,23.7,55.42,28.35,42.6,21.7,0,0
4,13,0,sawtooth-intkey-tp-python...ult-2,26.6,23.8,55.31,30.14,44.7,22.9,0,0
4,13,0,sawtooth-settings-tp-2,20.8,20.8,0.00,0.00,10.4,0,0,0
4,13,0,sawtooth-poet-validator-r...-tp-2,47.0,47.0,0.00,0.00,10.5,0,0,0
4,13,0,sawtooth-rest-api-2,28.1,27.6,2.66,0.24,5.6,5.7,0,0
4,13,0,sawtooth-settings-tp-3,20.7,20.7,0.00,0.00,10.6,0,0,0
4,13,0,sawtooth-poet-validator-r...-tp-3,46.9,46.9,0.00,0.00,10.6,0,0,0
4,13,0,sawtooth-rest-api-3,28.1,27.5,2.74,0.25,5.6,5.7,0,0
4,13,0,sawtooth-intkey-tp-python...ult-3,26.5,23.6,54.78,29.54,43.9,22.3,0,0
4,13,0,sawtooth-validator-3,417.7,289.9,121.74,83.92,46.9,51.6,0,0
4,13,0,sawtooth-validator-0,453.3,298.9,128.08,88.17,50.6,468.2,0,0
4,13,0,sawtooth-validator-2,393.6,273.2,116.59,85.18,48.1,51.8,0,0
4,13,0,sawtooth-validator-1,414.9,287.7,114.80,84.58,47.9,51.9,0,0
4,13,1,sawtooth-shell-default,29.4,14.4,86.99,30.37,544.0,4.0,0,0
4,13,1,sawtooth-rest-api-0,62.3,38.5,99.42,17.16,334.0,551.2,0,0
